No.	Name	Description	Block ID	Block	Sub-Block	
51	RCI	ring complexity index	2	Ring descriptors	Basic descriptors	1
52	NRS	number of ring systems	2	Ring descriptors	Basic descriptors	1
53	NNRS	normalized number of ring systems	2	Ring descriptors	Basic descriptors	1
54	nR03	number of 3-membered rings	2	Ring descriptors	Basic descriptors	1
55	nR04	number of 4-membered rings	2	Ring descriptors	Basic descriptors	1
56	nR05	number of 5-membered rings	2	Ring descriptors	Basic descriptors	1
57	nR06	number of 6-membered rings	2	Ring descriptors	Basic descriptors	1
58	nR07	number of 7-membered rings	2	Ring descriptors	Basic descriptors	1
59	nR08	number of 8-membered rings	2	Ring descriptors	Basic descriptors	1
60	nR09	number of 9-membered rings	2	Ring descriptors	Basic descriptors	1
61	nR10	number of 10-membered rings	2	Ring descriptors	Basic descriptors	1
62	nR11	number of 11-membered rings	2	Ring descriptors	Basic descriptors	1
63	nR12	number of 12-membered rings	2	Ring descriptors	Basic descriptors	1
64	nBnz	number of benzene-like rings	2	Ring descriptors	Basic descriptors	1
65	ARR	aromatic ratio	2	Ring descriptors	Basic descriptors	1
66	D/Dtr03	distance/detour ring index of order 3	2	Ring descriptors	Basic descriptors	1
67	D/Dtr04	distance/detour ring index of order 4	2	Ring descriptors	Basic descriptors	1
68	D/Dtr05	distance/detour ring index of order 5	2	Ring descriptors	Basic descriptors	1
69	D/Dtr06	distance/detour ring index of order 6	2	Ring descriptors	Basic descriptors	1
70	D/Dtr07	distance/detour ring index of order 7	2	Ring descriptors	Basic descriptors	1
71	D/Dtr08	distance/detour ring index of order 8	2	Ring descriptors	Basic descriptors	1
72	D/Dtr09	distance/detour ring index of order 9	2	Ring descriptors	Basic descriptors	1
73	D/Dtr10	distance/detour ring index of order 10	2	Ring descriptors	Basic descriptors	1
74	D/Dtr11	distance/detour ring index of order 11	2	Ring descriptors	Basic descriptors	1
75	D/Dtr12	distance/detour ring index of order 12	2	Ring descriptors	Basic descriptors	1
76	ZM1	first Zagreb index	3	Topological indices	Vertex degree-based indices	1
77	ZM1V	first Zagreb index by valence vertex degrees	3	Topological indices	Vertex degree-based indices	1
78	ZM1Kup	first Zagreb index by Kupchik vertex degrees	3	Topological indices	Vertex degree-based indices	1
79	ZM1Mad	first Zagreb index by Madan vertex degrees	3	Topological indices	Vertex degree-based indices	1
80	ZM1Per	first Zagreb index by perturbation vertex degrees	3	Topological indices	Vertex degree-based indices	1
81	ZM1MulPer	first Zagreb index by multiplicative perturbation vertex degrees	3	Topological indices	Vertex degree-based indices	1
82	ZM2	second Zagreb index	3	Topological indices	Vertex degree-based indices	1
83	ZM2V	second Zagreb index by valence vertex degrees	3	Topological indices	Vertex degree-based indices	1
84	ZM2Kup	second Zagreb index by Kupchik vertex degrees	3	Topological indices	Vertex degree-based indices	1
85	ZM2Mad	second Zagreb index by Madan vertex degrees	3	Topological indices	Vertex degree-based indices	1
86	ZM2Per	second Zagreb index by perturbation vertex degrees	3	Topological indices	Vertex degree-based indices	1
87	ZM2MulPer	second Zagreb index by multiplicative perturbation vertex degrees	3	Topological indices	Vertex degree-based indices	1
88	ON0	overall modified Zagreb index of order 0	3	Topological indices	Vertex degree-based indices	1
89	ON0V	overall modified Zagreb index of order 0 by valence vertex degrees	3	Topological indices	Vertex degree-based indices	1
90	ON1	overall modified Zagreb index of order 1	3	Topological indices	Vertex degree-based indices	1
91	ON1V	overall modified Zagreb index of order 1 by valence vertex degrees	3	Topological indices	Vertex degree-based indices	1
92	Qindex	quadratic index	3	Topological indices	Vertex degree-based indices	1
93	BBI	Bertz branching index	3	Topological indices	Vertex degree-based indices	1
94	DBI	Dragon branching index	3	Topological indices	Vertex degree-based indices	1
95	SNar	Narumi simple topological index (log function)	3	Topological indices	Vertex degree-based indices	1
96	HNar	Narumi harmonic topological index	3	Topological indices	Vertex degree-based indices	1
97	GNar	Narumi geometric topological index	3	Topological indices	Vertex degree-based indices	1
98	Xt	total structure connectivity index	3	Topological indices	Vertex degree-based indices	1
99	Dz	Pogliani index	3	Topological indices	Vertex degree-based indices	1
100	Ram	ramification index	3	Topological indices	Vertex degree-based indices	1
101	BLI	Kier benzene-likeliness index	3	Topological indices	Vertex degree-based indices	1
102	Pol	polarity number	3	Topological indices	Distance-based indices	2
103	LPRS	log of product of row sums (PRS)	3	Topological indices	Distance-based indices	2
104	MSD	mean square distance index (Balaban)	3	Topological indices	Distance-based indices	2
105	SPI	superpendentic index	3	Topological indices	Distance-based indices	2
106	PJI2	2D Petitjean shape index	3	Topological indices	Distance-based indices	2
107	ECC	eccentricity	3	Topological indices	Distance-based indices	2
108	AECC	average eccentricity	3	Topological indices	Distance-based indices	2
109	DECC	eccentric	3	Topological indices	Distance-based indices	2
110	MDDD	mean distance degree deviation	3	Topological indices	Distance-based indices	2
111	UNIP	unipolarity	3	Topological indices	Distance-based indices	2
112	CENT	centralization	3	Topological indices	Distance-based indices	2
113	VAR	variation	3	Topological indices	Distance-based indices	2
114	ICR	radial centric information index	3	Topological indices	Distance-based indices	2
115	SMTI	Schultz Molecular Topological Index (MTI)	3	Topological indices	MTI indices	3
116	SMTIV	Schultz Molecular Topological Index by valence vertex degrees	3	Topological indices	MTI indices	3
117	GMTI	Gutman Molecular Topological Index	3	Topological indices	MTI indices	3
118	GMTIV	Gutman Molecular Topological Index by valence vertex degrees	3	Topological indices	MTI indices	3
119	Xu	Xu index	3	Topological indices	MTI indices	3
120	CSI	eccentric connectivity index	3	Topological indices	MTI indices	3
121	Wap	all-path Wiener index	3	Topological indices	Path/walk indices	4
122	S1K	1-path Kier alpha-modified shape index	3	Topological indices	Path/walk indices	4
123	S2K	2-path Kier alpha-modified shape index	3	Topological indices	Path/walk indices	4
124	S3K	3-path Kier alpha-modified shape index	3	Topological indices	Path/walk indices	4
125	PHI	Kier flexibility index	3	Topological indices	Path/walk indices	4
126	PW2	path/walk 2 - Randic shape index	3	Topological indices	Path/walk indices	4
127	PW3	path/walk 3 - Randic shape index	3	Topological indices	Path/walk indices	4
128	PW4	path/walk 4 - Randic shape index	3	Topological indices	Path/walk indices	4
129	PW5	path/walk 5 - Randic shape index	3	Topological indices	Path/walk indices	4
130	MAXDN	maximal electrotopological negative variation	3	Topological indices	E-state indices	5
131	MAXDP	maximal electrotopological positive variation	3	Topological indices	E-state indices	5
132	DELS	molecular electrotopological variation	3	Topological indices	E-state indices	5
133	TIE	E-state topological parameter	3	Topological indices	E-state indices	5
134	Psi_i_s	intrinsic state pseudoconnectivity index - type S	3	Topological indices	E-state indices	5
135	Psi_i_A	intrinsic state pseudoconnectivity index - type S average	3	Topological indices	E-state indices	5
136	Psi_i_0	intrinsic state pseudoconnectivity index - type 0	3	Topological indices	E-state indices	5
137	Psi_i_1	intrinsic state pseudoconnectivity index - type 1	3	Topological indices	E-state indices	5
138	Psi_i_t	intrinsic state pseudoconnectivity index - type T	3	Topological indices	E-state indices	5
139	Psi_i_0d	intrinsic state pseudoconnectivity index - type 0d	3	Topological indices	E-state indices	5
140	Psi_i_1d	intrinsic state pseudoconnectivity index - type 1d	3	Topological indices	E-state indices	5
141	Psi_i_1s	intrinsic state pseudoconnectivity index - type 1s	3	Topological indices	E-state indices	5
142	Psi_e_A	electrotopological state pseudoconnectivity index - type S average	3	Topological indices	E-state indices	5
143	Psi_e_0	electrotopological state pseudoconnectivity index - type 0	3	Topological indices	E-state indices	5
144	Psi_e_1	electrotopological state pseudoconnectivity index - type 1	3	Topological indices	E-state indices	5
145	Psi_e_t	electrotopological state pseudoconnectivity index - type T	3	Topological indices	E-state indices	5
146	Psi_e_0d	electrotopological state pseudoconnectivity index - type 0d	3	Topological indices	E-state indices	5
147	Psi_e_1d	electrotopological state pseudoconnectivity index - type 1d	3	Topological indices	E-state indices	5
148	Psi_e_1s	electrotopological state pseudoconnectivity index - type 1s	3	Topological indices	E-state indices	5
149	BAC	Balaban centric index	3	Topological indices	Centric indices	6
150	LOC	lopping centric index	3	Topological indices	Centric indices	6
151	MWC01	molecular walk count of order 1	4	Walk and path counts	Walk counts	1
152	MWC02	molecular walk count of order 2	4	Walk and path counts	Walk counts	1
153	MWC03	molecular walk count of order 3	4	Walk and path counts	Walk counts	1
154	MWC04	molecular walk count of order 4	4	Walk and path counts	Walk counts	1
155	MWC05	molecular walk count of order 5	4	Walk and path counts	Walk counts	1
156	MWC06	molecular walk count of order 6	4	Walk and path counts	Walk counts	1
157	MWC07	molecular walk count of order 7	4	Walk and path counts	Walk counts	1
158	MWC08	molecular walk count of order 8	4	Walk and path counts	Walk counts	1
159	MWC09	molecular walk count of order 9	4	Walk and path counts	Walk counts	1
160	MWC10	molecular walk count of order 10	4	Walk and path counts	Walk counts	1
161	SRW02	self-returning walk count of order 2	4	Walk and path counts	Self-returning walk counts	2
162	SRW03	self-returning walk count of order 3	4	Walk and path counts	Self-returning walk counts	2
163	SRW04	self-returning walk count of order 4	4	Walk and path counts	Self-returning walk counts	2
164	SRW05	self-returning walk count of order 5	4	Walk and path counts	Self-returning walk counts	2
165	SRW06	self-returning walk count of order 6	4	Walk and path counts	Self-returning walk counts	2
166	SRW07	self-returning walk count of order 7	4	Walk and path counts	Self-returning walk counts	2
167	SRW08	self-returning walk count of order 8	4	Walk and path counts	Self-returning walk counts	2
168	SRW09	self-returning walk count of order 9	4	Walk and path counts	Self-returning walk counts	2
169	SRW10	self-returning walk count of order 10	4	Walk and path counts	Self-returning walk counts	2
170	MPC01	molecular path count of order 1 (no. of non-H bonds)	4	Walk and path counts	Path counts	3
171	MPC02	molecular path count of order 2 (Gordon-Scantlebury index)	4	Walk and path counts	Path counts	3
172	MPC03	molecular path count of order 3	4	Walk and path counts	Path counts	3
173	MPC04	molecular path count of order 4	4	Walk and path counts	Path counts	3
174	MPC05	molecular path count of order 5	4	Walk and path counts	Path counts	3
175	MPC06	molecular path count of order 6	4	Walk and path counts	Path counts	3
176	MPC07	molecular path count of order 7	4	Walk and path counts	Path counts	3
177	MPC08	molecular path count of order 8	4	Walk and path counts	Path counts	3
178	MPC09	molecular path count of order 9	4	Walk and path counts	Path counts	3
179	MPC10	molecular path count of order 10	4	Walk and path counts	Path counts	3
180	piPC01	molecular multiple path count of order 1	4	Walk and path counts	Multiple path counts	4
181	piPC02	molecular multiple path count of order 2	4	Walk and path counts	Multiple path counts	4
182	piPC03	molecular multiple path count of order 3	4	Walk and path counts	Multiple path counts	4
183	piPC04	molecular multiple path count of order 4	4	Walk and path counts	Multiple path counts	4
184	piPC05	molecular multiple path count of order 5	4	Walk and path counts	Multiple path counts	4
185	piPC06	molecular multiple path count of order 6	4	Walk and path counts	Multiple path counts	4
186	piPC07	molecular multiple path count of order 7	4	Walk and path counts	Multiple path counts	4
187	piPC08	molecular multiple path count of order 8	4	Walk and path counts	Multiple path counts	4
188	piPC09	molecular multiple path count of order 9	4	Walk and path counts	Multiple path counts	4
189	piPC10	molecular multiple path count of order 10	4	Walk and path counts	Multiple path counts	4
190	TWC	total walk count	4	Walk and path counts	ID numbers	5
191	TPC	total path count	4	Walk and path counts	ID numbers	5
192	piID	conventional bond order ID number	4	Walk and path counts	ID numbers	5
193	PCR	ratio of multiple path count over path coun	4	Walk and path counts	ID numbers	5
194	PCD	difference between multiple path count and path count	4	Walk and path counts	ID numbers	5
195	CID	Randic ID number	4	Walk and path counts	ID numbers	5
196	BID	Balaban ID number	4	Walk and path counts	ID numbers	5
197	X0	connectivity index of order 0	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
198	X1	connectivity index of order 1 (Randic connectivity index)	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
199	X2	connectivity index of order 2	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
200	X3	connectivity index of order 3	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
201	X4	connectivity index of order 4	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
202	X5	connectivity index of order 5	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
203	X0A	average connectivity index of order 0	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
204	X1A	average connectivity index of order 1	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
205	X2A	average connectivity index of order 2	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
206	X3A	average connectivity index of order 3	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
207	X4A	average connectivity index of order 4	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
208	X5A	average connectivity index of order 5	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
209	X0v	valence connectivity index of order 0	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
210	X1v	valence connectivity index of order 1	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
211	X2v	valence connectivity index of order 2	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
212	X3v	valence connectivity index of order 3	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
213	X4v	valence connectivity index of order 4	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
214	X5v	valence connectivity index of order 5	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
215	X0Av	average valence connectivity index of order 0	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
216	X1Av	average valence connectivity index of order 1	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
217	X2Av	average valence connectivity index of order 2	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
218	X3Av	average valence connectivity index of order 3	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
219	X4Av	average valence connectivity index of order 4	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
220	X5Av	average valence connectivity index of order 5	5	Connectivity indices	Kier-Hall molecular connectivity indices	1
221	X0sol	solvation connectivity index of order 0	5	Connectivity indices	Solvation connectivity indices	1
222	X1sol	solvation connectivity index of order 1	5	Connectivity indices	Solvation connectivity indices	1
223	X2sol	solvation connectivity index of order 2	5	Connectivity indices	Solvation connectivity indices	1
224	X3sol	solvation connectivity index of order 3	5	Connectivity indices	Solvation connectivity indices	1
225	X4sol	solvation connectivity index of order 4	5	Connectivity indices	Solvation connectivity indices	1
226	X5sol	solvation connectivity index of order 5	5	Connectivity indices	Solvation connectivity indices	1
227	XMOD	modified Randic index	5	Connectivity indices	Randic-like connectivity indices	1
228	RDCHI	reciprocal distance sum Randic-like index	5	Connectivity indices	Randic-like connectivity indices	1
229	RDSQ	reciprocal distance sum inverse Randic-like index	5	Connectivity indices	Randic-like connectivity indices	1
230	X1Kup	Kupchik connectivity index	5	Connectivity indices	Randic-like connectivity indices	1
231	X1Mad	connectivity topochemical index	5	Connectivity indices	Randic-like connectivity indices	1
232	X1Per	perturbation connectivity index	5	Connectivity indices	Randic-like connectivity indices	1
233	X1MulPer	multiplicative perturbation connectivity index	5	Connectivity indices	Randic-like connectivity indices	1
234	ISIZ	information index on molecular size	6	Information indices	Basic descriptors	1
235	IAC	total information index on atomic composition	6	Information indices	Basic descriptors	1
236	AAC	mean information index on atomic composition	6	Information indices	Basic descriptors	1
237	IDE	mean information content on the distance equality	6	Information indices	Basic descriptors	1
238	IDM	mean information content on the distance magnitude	6	Information indices	Basic descriptors	1
239	IDDE	mean information content on the distance degree equality	6	Information indices	Basic descriptors	1
240	IDDM	mean information content on the distance degree magnitude	6	Information indices	Basic descriptors	1
241	IDET	total information content on the distance equality	6	Information indices	Basic descriptors	1
242	IDMT	total information content on the distance magnitude	6	Information indices	Basic descriptors	1
243	IVDE	mean information content on the vertex degree equality	6	Information indices	Basic descriptors	1
244	IVDM	mean information content on the vertex degree magnitude	6	Information indices	Basic descriptors	1
245	S0K	Kier symmetry index	6	Information indices	Basic descriptors	1
246	HVcpx	graph vertex complexity index	6	Information indices	Basic descriptors	1
247	HDcpx	graph distance complexity index (log function)	6	Information indices	Basic descriptors	1
248	Uindex	Balaban U index	6	Information indices	Basic descriptors	1
249	Vindex	Balaban V index	6	Information indices	Basic descriptors	1
250	Xindex	Balaban X index	6	Information indices	Basic descriptors	1
251	Yindex	Balaban Y index	6	Information indices	Basic descriptors	1
252	IC0	Information Content index (neighborhood symmetry of 0-order)	6	Information indices	Indices of neighborhood symmetry	1
253	IC1	Information Content index (neighborhood symmetry of 1-order)	6	Information indices	Indices of neighborhood symmetry	1
254	IC2	Information Content index (neighborhood symmetry of 2-order)	6	Information indices	Indices of neighborhood symmetry	1
255	IC3	Information Content index (neighborhood symmetry of 3-order)	6	Information indices	Indices of neighborhood symmetry	1
256	IC4	Information Content index (neighborhood symmetry of 4-order)	6	Information indices	Indices of neighborhood symmetry	1
257	IC5	Information Content index (neighborhood symmetry of 5-order)	6	Information indices	Indices of neighborhood symmetry	1
258	TIC0	Total Information Content index (neighborhood symmetry of 0-order)	6	Information indices	Indices of neighborhood symmetry	1
259	TIC1	Total Information Content index (neighborhood symmetry of 1-order)	6	Information indices	Indices of neighborhood symmetry	1
260	TIC2	Total Information Content index (neighborhood symmetry of 2-order)	6	Information indices	Indices of neighborhood symmetry	1
261	TIC3	Total Information Content index (neighborhood symmetry of 3-order)	6	Information indices	Indices of neighborhood symmetry	1
262	TIC4	Total Information Content index (neighborhood symmetry of 4-order)	6	Information indices	Indices of neighborhood symmetry	1
263	TIC5	Total Information Content index (neighborhood symmetry of 5-order)	6	Information indices	Indices of neighborhood symmetry	1
264	SIC0	Structural Information Content index (neighborhood symmetry of 0-order)	6	Information indices	Indices of neighborhood symmetry	1
265	SIC1	Structural Information Content index (neighborhood symmetry of 1-order)	6	Information indices	Indices of neighborhood symmetry	1
266	SIC2	Structural Information Content index (neighborhood symmetry of 2-order)	6	Information indices	Indices of neighborhood symmetry	1
267	SIC3	Structural Information Content index (neighborhood symmetry of 3-order)	6	Information indices	Indices of neighborhood symmetry	1
268	SIC4	Structural Information Content index (neighborhood symmetry of 4-order)	6	Information indices	Indices of neighborhood symmetry	1
269	SIC5	Structural Information Content index (neighborhood symmetry of 5-order)	6	Information indices	Indices of neighborhood symmetry	1
270	CIC0	Complementary Information Content index (neighborhood symmetry of 0-order)	6	Information indices	Indices of neighborhood symmetry	1
271	CIC1	Complementary Information Content index (neighborhood symmetry of 1-order)	6	Information indices	Indices of neighborhood symmetry	1
272	CIC2	Complementary Information Content index (neighborhood symmetry of 2-order)	6	Information indices	Indices of neighborhood symmetry	1
273	CIC3	Complementary Information Content index (neighborhood symmetry of 3-order)	6	Information indices	Indices of neighborhood symmetry	1
274	CIC4	Complementary Information Content index (neighborhood symmetry of 4-order)	6	Information indices	Indices of neighborhood symmetry	1
275	CIC5	Complementary Information Content index (neighborhood symmetry of 5-order)	6	Information indices	Indices of neighborhood symmetry	1
276	BIC0	Bond Information Content index (neighborhood symmetry of 0-order)	6	Information indices	Indices of neighborhood symmetry	1
277	BIC1	Bond Information Content index (neighborhood symmetry of 1-order)	6	Information indices	Indices of neighborhood symmetry	1
278	BIC2	Bond Information Content index (neighborhood symmetry of 2-order)	6	Information indices	Indices of neighborhood symmetry	1
279	BIC3	Bond Information Content index (neighborhood symmetry of 3-order)	6	Information indices	Indices of neighborhood symmetry	1
280	BIC4	Bond Information Content index (neighborhood symmetry of 4-order)	6	Information indices	Indices of neighborhood symmetry	1
281	BIC5	Bond Information Content index (neighborhood symmetry of 5-order)	6	Information indices	Indices of neighborhood symmetry	1
282	J_A	Balaban-like index from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
283	SpPos_A	spectral positive sum from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
284	SpPosA_A	normalized spectral positive sum from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
285	SpPosLog_A	logarithmic spectral positive sum from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
286	SpMax_A	leading eigenvalue from adjacency matrix (Lovasz-Pelikan index)	7	2D matrix-based descriptors	Adjacency matrix (A)	1
287	SpMaxA_A	normalized leading eigenvalue from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
288	SpDiam_A	spectral diameter from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
289	SpAD_A	spectral absolute deviation from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
290	SpMAD_A	spectral mean absolute deviation from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
291	Ho_A	Hosoya-like index (log function) from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
292	EE_A	Estrada-like index (log function) from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
293	VE1_A	coefficient sum of the last eigenvector from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
294	VE2_A	average coefficient of the last eigenvector from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
295	VE3_A	logarithmic coefficient sum of the last eigenvector from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
296	VR1_A	Randic-like eigenvector-based index from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
297	VR2_A	normalized Randic-like eigenvector-based index from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
298	VR3_A	logarithmic Randic-like eigenvector-based index from adjacency matrix	7	2D matrix-based descriptors	Adjacency matrix (A)	1
299	Wi_D	Wiener-like index from topological distance matrix (Wiener index)	7	2D matrix-based descriptors	Topological distance matrix (D)	1
300	WiA_D	average Wiener-like index from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
301	AVS_D	average vertex sum from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
302	H_D	Harary-like index from topological distance matrix (Harary index)	7	2D matrix-based descriptors	Topological distance matrix (D)	1
303	Chi_D	Randic-like index from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
304	ChiA_D	average Randic-like index from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
305	J_D	Balaban-like index from topological distance matrix (Balaban distance connectivity index)	7	2D matrix-based descriptors	Topological distance matrix (D)	1
306	HyWi_D	hyper-Wiener-like index (log function) from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
307	SpPos_D	spectral positive sum from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
308	SpPosA_D	normalized spectral positive sum from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
309	SpPosLog_D	logarithmic spectral positive sum from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
310	SpMax_D	leading eigenvalue from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
311	SpMaxA_D	normalized leading eigenvalue from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
312	SpDiam_D	spectral diameter from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
313	SpAD_D	spectral absolute deviation from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
314	SpMAD_D	spectral mean absolute deviation from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
315	Ho_D	Hosoya-like index (log function) from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
316	EE_D	Estrada-like index (log function) from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
317	SM2_D	spectral moment of order 2 from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
318	SM3_D	spectral moment of order 3 from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
319	SM4_D	spectral moment of order 4 from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
320	SM5_D	spectral moment of order 5 from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
321	SM6_D	spectral moment of order 6 from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
322	VE1_D	coefficient sum of the last eigenvector from topological distance matrix	7	2D matrix-based descriptors	Topological distance matrix (D)	1
